feed_source,feed_url
GuardianUS,https://www.theguardian.com/us-news/rss
ReutersUS,http://feeds.reuters.com/Reuters/domesticNews
CNNUS,http://rss.cnn.com/rss/cnn_us.rss
FOXUS,http://feeds.foxnews.com/foxnews/national
Breitbart,http://feeds.feedburner.com/breitbart
USAToday,http://rssfeeds.usatoday.com/UsatodaycomNation-TopStories
ABCTopStories,http://feeds.abcnews.com/abcnews/topstories
NYPost,http://nypost.com/news/feed/
BBCUSCanada,http://feeds.bbci.co.uk/news/world/us_and_canada/rss.xml
