	time	title	summary	link	source
16	1488029623	['london', 'teenagers', 'appear', 'in', 'court', 'over', 'plans', 'to', 'join', 'isis', 'in', 'syria']	['four', 'boys', 'accused', 'of', 'plotting', 'to', 'carry', 'out', 'acts', 'of', 'terrorism', 'abroad', 'and', 'fifth', 'of', 'having', 'terrorist', 'materialsfour', 'teenagers', 'accused', 'of', 'planning', 'to', 'travel', 'to', 'syria', 'to', 'join', 'islamic', 'state', 'have', 'appeared', 'in', 'court', 'on', 'terrorism', 'chargesthe', 'boys', 'all', 'from', 'london', 'were', 'alleged', 'to', 'be', 'plotting', 'to', 'carry', 'out', 'acts', 'of', 'terrorism', 'abroad', 'a', 'fifth', 'boy', 'aged', 'number', 'was', 'accused', 'of', 'having', 'terrorist', 'materials', 'including', 'the', 'isis', 'publication', 'inspire', 'and', 'a', 'bomb', 'making', 'video', 'continue', 'reading']	https://www.theguardian.com/uk-news/2017/feb/25/london-teenagers-appear-in-court-over-plans-to-join-isis-in-syria	GuardianUK
17	1488001083	['jeremy', 'corbyn', 'told', 'not', 'to', 'pass', 'the', 'buck', 'after', 'labour', 'defeat']	['senior', 'party', 'figures', 'tell', 'leader', 'that', 'he', 'must', 'take', 'some', 'responsibility', 'after', 'historic', 'byelection', 'loss', 'in', 'copelandjeremy', 'corbyn', 'has', 'come', 'under', 'intense', 'pressure', 'to', 'take', 'some', 'personal', 'responsibility', 'for', 'labours', 'historic', 'byelection', 'defeat', 'in', 'copeland', 'from', 'senior', 'party', 'figures', 'including', 'trade', 'union', 'leaders', 'and', 'even', 'members', 'of', 'his', 'own', 'shadow', 'cabinetthe', 'labour', 'leader', 'was', 'urged', 'not', 'to', '“pass', 'the', 'buck”', 'or', 'sugarcoat', 'the', 'result', 'after', 'theresa', 'mays', 'conservatives', 'secured', 'the', 'first', 'byelection', 'gain', 'by', 'a', 'government', 'since', 'number', 'in', 'a', 'cumbrian', 'seat', 'that', 'had', 'been', 'held', 'by', 'his', 'party', 'since', 'number', 'continue', 'reading']	https://www.theguardian.com/politics/2017/feb/24/jeremy-corbyn-warned-not-to-pass-the-buck-after-labour-defeat	GuardianUK
18	1488039076	['far', 'right', 'polish', 'priest', 'detained', 'at', 'stansted', 'airport']	['jacek', 'miedlar', 'held', 'by', 'uk', 'authorities', 'hours', 'before', 'he', 'was', 'supposed', 'to', 'address', 'britain', 'first', 'rally', 'in', 'shropshirea', 'notorious', 'polish', 'priest', 'accused', 'of', 'spreading', 'antisemitism', 'and', 'islamophobia', 'has', 'been', 'detained', 'by', 'uk', 'authorities', 'hours', 'before', 'he', 'was', 'due', 'to', 'address', 'a', 'far', 'right', 'rally', 'in', 'shropshirejacek', 'miedlar', 'a', 'leading', 'figure', 'for', 'rightwing', 'extremists', 'in', 'poland', 'was', 'held', 'by', 'uk', 'border', 'officials', 'after', 'landing', 'at', 'stansted', 'airport', 'essex', 'to', 'prevent', 'him', 'attending', 'the', 'controversial', 'event', 'in', 'telford', 'continue', 'reading']	https://www.theguardian.com/world/2017/feb/25/far-right-polish-priest-jacek-miedlar-detained-at-stansted-airport	GuardianUK
19	1487948495	['revealed', 'thousands', 'of', 'children', 'at', 'london', 'schools', 'breathe', 'toxic', 'air']	['exclusive', 'number', 'schools', 'nurseries', 'and', 'colleges', 'are', 'in', 'areas', 'where', 'levels', 'of', 'nitrogen', 'dioxide', 'breach', 'eu', 'legal', 'limitstens', 'of', 'thousands', 'of', 'children', 'at', 'more', 'than', 'number', 'schools', 'nurseries', 'and', 'colleges', 'in', 'london', 'are', 'being', 'exposed', 'to', 'illegal', 'levels', 'of', 'air', 'pollution', 'that', 'risk', 'causing', 'lifelong', 'health', 'problems', 'the', 'guardian', 'can', 'disclosea', 'study', 'identifies', 'number', 'educational', 'institutions', 'where', 'pupils', 'as', 'young', 'as', 'three', 'are', 'being', 'exposed', 'to', 'levels', 'of', 'nitrogen', 'dioxide', 'that', 'breach', 'eu', 'legal', 'limits', 'and', 'which', 'the', 'government', 'accepts', 'are', 'harmful', 'to', 'health', 'continue', 'reading']	https://www.theguardian.com/uk-news/2017/feb/24/revealed-thousands-of-children-toxic-air-london-nitrogen-dioxide	GuardianUK
20	1487985719	['huge', 'cannabis', 'farm', 'was', 'staffed', 'by', 'trafficked', 'vietnamese', 'teenagers']	['three', 'teenagers', 'were', 'found', 'working', 'in', 'slave', 'like', 'conditions', 'at', 'former', 'nuclear', 'bunker', 'in', 'wiltshire', 'police', 'say', 'a', 'vast', 'marijuana', 'farm', 'discovered', 'in', 'a', 'former', 'nuclear', 'bunker', 'in', 'wiltshire', 'was', 'staffed', 'by', 'trafficked', 'vietnamese', 'teenagers', 'working', 'in', 'slave', 'like', 'conditions', 'police', 'saythe', 'three', 'teenagers', 'the', 'youngest', 'of', 'whom', 'was', 'initially', 'thought', 'to', 'be', 'number', 'and', 'one', 'adult', 'in', 'his', 'number', 'were', 'found', 'working', 'as', 'gardeners', 'inside', 'the', 'number', 'bunker', 'after', 'a', 'midnight', 'raid', 'on', 'wednesday', 'continue', 'reading']	https://www.theguardian.com/uk-news/2017/feb/24/huge-cannabis-farm-staffed-trafficked-vietnamese-teenagers	GuardianUK
21	1487983081	['chris', 'grayling', 'advises', 'motorists', 'to', 'think', 'hard', 'before', 'buying', 'diesel']	['transport', 'secretary', 'recommends', 'low', 'emission', 'cars', 'after', 'it', 'emerges', 'that', 'thousands', 'of', 'children', 'breathing', 'toxic', 'airdrivers', 'should', '“think', 'long', 'and', 'hard”', 'before', 'buying', 'a', 'diesel', 'car', 'and', 'instead', 'consider', 'purchasing', 'a', 'low', 'emission', 'vehicle', 'the', 'transport', 'secretary', 'has', 'said', 'as', 'the', 'government', 'considers', 'a', 'strategy', 'to', 'tackle', 'air', 'pollution', 'chris', 'graylings', 'intervention', 'took', 'place', 'as', 'the', 'guardian', 'revealed', 'that', 'tens', 'of', 'thousands', 'of', 'londons', 'children', 'were', 'attending', 'schools', 'in', 'areas', 'with', 'levels', 'of', 'toxic', 'air', 'in', 'breach', 'of', 'eu', 'legal', 'limits', 'the', 'minister', 'also', 'said', 'the', 'government', 'had', 'a', 'legal', 'duty', 'to', 'cut', 'emissions', 'of', 'nitrogen', 'oxide', 'from', 'diesel', 'cars', 'which', 'account', 'for', 'four', 'in', 'number', 'vehicles', 'on', 'british', 'roads', 'after', 'a', 'high', 'court', 'ruling', 'in', 'november', 'ordered', 'the', 'authorities', 'to', 'reduce', 'levels', 'of', 'the', 'toxic', 'fume', 'in', 'the', '“shortest', 'possible', 'time”', 'continue', 'reading']	https://www.theguardian.com/cities/2017/feb/25/chris-grayling-advises-motorists-to-think-hard-before-buying-diesel-cars-london-pollution-sadiq-khan	GuardianUK
22	1487958816	['new', 'lord', 'chief', 'justice', 'must', 'be', 'number', 'or', 'younger', 'to', 'navigate', 'brexit']	['legal', 'world', 'astonished', 'by', 'decision', 'that', 'rules', 'out', 'lord', 'leveson', 'from', 'top', 'job', 'in', 'england', 'and', 'wales', 'judiciarythe', 'new', 'lord', 'chief', 'justice', 'will', 'have', 'to', 'be', 'number', 'or', 'younger', 'in', 'order', 'to', 'steer', 'the', 'judiciary', 'through', 'the', 'uncertainties', 'of', 'brexit', 'ruling', 'out', 'several', 'leading', 'candidates', 'including', 'lord', 'levesonthe', 'decision', 'revealed', 'in', 'the', 'launch', 'of', 'the', 'appointment', 'competition', 'on', 'friday', 'astonished', 'the', 'legal', 'world', 'as', 'well', 'as', 'leveson', 'who', 'conducted', 'the', 'inquiry', 'into', 'media', 'ethics', 'it', 'rules', 'out', 'lady', 'justice', 'hallett', 'who', 'conducted', 'the', 'inquest', 'into', 'the', 'number', 'number', 'bombings', 'both', 'will', 'be', 'number', 'later', 'this', 'year', 'continue', 'reading']	https://www.theguardian.com/law/2017/feb/24/new-lord-chief-justice-must-be-65-or-younger-to-navigate-brexit-leveson	GuardianUK
23	1487966963	['five', 'teenagers', 'from', 'london', 'charged', 'with', 'terror', 'offences']	['male', 'youths', 'aged', 'between', 'number', 'and', 'number', 'were', 'arrested', 'earlier', 'this', 'week', 'by', 'met', 'police', 'five', 'teenagers', 'from', 'london', 'aged', 'between', 'number', 'and', 'number', 'have', 'been', 'charged', 'with', 'terror', 'offences', 'after', 'being', 'arrested', 'earlier', 'this', 'week', 'by', 'the', 'metropolitan', 'policea', 'statement', 'from', 'scotland', 'yard', 'on', 'friday', 'night', 'said', '“the', 'arrests', 'relate', 'to', 'plans', 'to', 'travel', 'to', 'join', 'a', 'proscribed', 'organisation”', 'continue', 'reading']	https://www.theguardian.com/uk-news/2017/feb/24/five-teenagers-from-london-charged-terror-offences	GuardianUK
24	1487962910	['former', 'stephen', 'lawrence', 'murder', 'suspect', 'jailed', 'over', 'pound', 'number', 'drug', 'plot']	['neil', 'acourt', 'was', 'described', 'as', 'man', 'at', 'the', 'top', 'of', 'a', 'scheme', 'to', 'funnel', 'cannabis', 'into', 'northern', 'englanda', 'former', 'suspect', 'in', 'the', 'murder', 'of', 'stephen', 'lawrence', 'has', 'been', 'jailed', 'for', 'more', 'than', 'six', 'years', 'over', 'a', 'pound', 'number', 'drug', 'plotneil', 'acourt', 'was', 'arrested', 'but', 'not', 'prosecuted', 'for', 'the', 'racist', 'murder', 'of', 'the', 'black', 'number', 'year', 'old', 'who', 'was', 'stabbed', 'to', 'death', 'by', 'a', 'group', 'of', 'white', 'men', 'in', 'eltham', 'in', 'number', 'but', 'he', 'now', 'faces', 'a', 'spell', 'in', 'prison', 'after', 'he', 'and', 'his', 'six', 'member', 'gang', 'were', 'caught', '“red', 'handed”', 'with', 'number', 'of', 'cannabis', 'continue', 'reading']	https://www.theguardian.com/world/2017/feb/24/former-stephen-lawrence-suspect-jailed-4m-drug-plot-neil-acourt	GuardianUK
25	1487963302	['rbs', 'reports', 'pound', 'number', 'loss', 'and', 'says', 'it', 'will', 'not', 'make', 'profit', 'until', 'number']	['taxpayer', 'owned', 'bank', 'has', 'now', 'suffered', 'nine', 'consecutive', 'years', 'in', 'the', 'redroyal', 'bank', 'of', 'scotland', 'has', 'reported', 'a', 'new', 'pound', 'number', 'loss', '–', 'its', 'ninth', 'consecutive', 'year', 'deep', 'in', 'the', 'red', '–', 'which', 'has', 'taken', 'its', 'total', 'losses', 'since', 'the', 'number', 'financial', 'crash', 'to', 'more', 'than', 'pound', 'number', 'related', 'treasury', 'plan', 'may', 'allow', 'rbs', 'to', 'avoid', 'selling', 'number', 'branches', 'continue', 'reading']	https://www.theguardian.com/business/2017/feb/24/rbs-loss-profit-bank	GuardianUK
